dataset,method,accuracy_seen_avg,ece_seen_avg,score
cifar100,lora,0.3554995656013489,0.3088231433909309,0.523338211105209
cifar100,lora,0.3540820777416229,0.33459306875654693,0.5097445044925379
cifar100,lora,0.34768199920654297,0.33945231559603284,0.504114841805255
cifar100,lora,0.3457910120487213,0.34676318188501115,0.49951391508185505
cifar100,lora,0.3053376376628876,0.40961272980695096,0.4478624539279683
cifar100,lora,0.39131370186805725,0.14526091252497622,0.6230263946715405
cifar100,lora,0.37644529342651367,0.174886932634152,0.6007791803961808
cifar100,lora,0.377729594707489,0.2074486658558639,0.5851404644258126
cifar100,lora,0.38033297657966614,0.2164345148961866,0.5819492308417398
cifar100,lora,0.37681517004966736,0.20117570058311895,0.5878197347332742
cifar100,lora,0.38057711720466614,0.23774500148812425,0.571416057858271
cifar100,lora,0.3828130066394806,0.1574730025503175,0.6126700020445816
cifar100,lora,0.3925628066062927,0.1457081606051016,0.6234273230005956
cifar100,lora,0.3852640688419342,0.16946933030276798,0.607897369269583
cifar100,ewc,0.2676389813423157,0.3862392328495011,0.4406998742464073
cifar100,ewc,0.4254167675971985,0.24156456377390695,0.5919261019116457
cifar100,ewc,0.32613664865493774,0.3811517475183481,0.4724924505682948
cifar100,ewc,0.3935696482658386,0.07068766805526819,0.6614409901052852
cifar100,ewc,0.2609139084815979,0.358584737083175,0.4511645856992115
cifar100,ewc,0.43422985076904297,0.09691610187516228,0.6686568744469403
cifar100,ewc,0.4702436327934265,0.06855621135699048,0.7008437107182179
cifar100,ewc,0.4419132173061371,0.0540551909617311,0.693929013172203
cifar100,ewc,0.4721549153327942,0.10037908513990816,0.685887915096443
cifar100,ewc,0.4863659739494324,0.08991645906598693,0.6982247574417227
cifar100,ewc,0.46511226892471313,0.11750567548427408,0.6738032967202195
cifar100,ewc,0.4682033956050873,0.09884456766194641,0.6846794139715704
cifar100,ewc,0.4429762363433838,0.0657937494532341,0.6885912434450748
cifar100,ewc,0.46593165397644043,0.06831413904467218,0.6988087574658841
cifar100,ewc,0.46057114005088806,0.07182575480198997,0.6943726926244491
cifar100,rwalk,0.5764427781105042,0.21386629346213884,0.6812882423241826
cifar100,rwalk,0.34108346700668335,0.3811568917047614,0.47996328765096097
cifar100,rwalk,0.6363381147384644,0.15632667937375724,0.7400057176823536
cifar100,rwalk,0.5639523267745972,0.18988067559507452,0.6870358255897613
cifar100,rwalk,0.6120243668556213,0.1695345716526683,0.7212448976014765
cifar100,rwalk,0.6087817549705505,0.1786344544158634,0.7150736502773436
cifar100,clora,0.5555756688117981,0.15979891260997614,0.697888378100911
cifar100,clora,0.29193440079689026,0.5648330979319536,0.36355065143246834
cifar100,clora,0.5874833464622498,0.0835069672413236,0.7519881896104631
cifar100,clora,0.6099739670753479,0.09445917712711285,0.7577573949741175
cifar100,clora,0.6035747528076172,0.14459620774577542,0.7294892725309209
cifar100,clora,0.6102790832519531,0.03566766885233077,0.7873057071998112
cifar100,clora,0.5668786764144897,0.041751959730735165,0.7625633583418773
cifar100,clora,0.599158525466919,0.036913077073078254,0.7811227241969203
cifar100,clora,0.6007992029190063,0.03404103697631668,0.7833790829713448
